title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year,Developer_metacritic_game_info,Genre_metacritic_game_info,Metascore_metacritic_game_info,Avg_Userscore_metacritic_game_info,No. of players_metacritic_game_info,releasedate_VGOutput,releasedate_raw,releasedate_quarter,releasedate_link,releasedate_1986-2023,Userscore,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60,component_61,component_62,component_63,component_64,component_65,component_66,component_67,component_68,component_69,component_70,component_71,component_72,component_73,component_74,component_75,component_76,component_77,component_78,component_79,component_80,component_81,component_82,component_83,component_84,component_85,component_86,component_87,component_88,component_89,component_90,component_91,component_92,component_93,component_94,component_95,component_96,component_97,component_98,component_99
1602 A.D.,PC,Simulation,Ubisoft,2.0,5.0,7.0,2.7,3.64,2.04,2.93,1.8,10.41,0.01,2000,,,,,,,,00:00:00,https://www.google.com/search?q=1602 A.D. PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701 A.D.,PC,Simulation,Sony Computer Entertainment,8.0,7.7,5.0,1.0,7.05,4.74,5.85,2.3,19.94,6.96,2006,RelatedDesigns,Strategy;Real-Time;Historic;General;Historic,79.0,8.4,1 to 4,,October 26 2006,2006-10-26 00:00:00,https://www.google.com/search?q=1701 A.D. PC release date,2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701 A.D. The Curse of the Dragon,PC,Simulation,Frontier Developments,6.0,3.0,5.0,100.0,7.46,2.67,2.28,1.42,13.83,6.93,2007,,,,,,,,00:00:00,https://www.google.com/search?q=1701 A.D. The Curse of the Dragon PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701 A.D. Gold Edition,PC,Simulation,Ubisoft,6.0,7.9,3.0,241.0,4.62,1.54,1.94,5.52,13.62,6.17,2008,,,,,,,,00:00:00,https://www.google.com/search?q=1701 A.D. Gold Edition PC release date,2008-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheeler American Pro Trucker,PS2,Racing,Activision,9.0,6.0,7.0,235.0,3.0,0.2,4.01,0.15,4.76,5.26,2001,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheeler American Pro Trucker PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Across America,PC,Racing,Activision,10.0,5.0,1.0,162.0,1.53,1.39,5.42,1.94,10.28,5.11,2003,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Across America PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel American Long Haul,PC,Racing,Sony Computer Entertainment,6.0,9.0,6.0,173.0,3.01,6.6,1.81,3.08,14.5,2.18,2007,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel American Long Haul PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Big City Rigs,PC,Racing,Omega,9.0,6.0,7.0,60.0,5.19,1.92,5.81,6.56,19.48,0.03,2009,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Big City Rigs PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Convoy,PC,Racing,Electronic Arts,10.0,7.0,7.0,140.0,4.0,7.1,5.68,1.34,18.12,1.26,2005,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Convoy PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Extreme Trucker,PC,Racing,Activision,6.0,6.0,7.0,209.0,3.0,7.77,2.51,0.02,10.32,4.06,2009,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Extreme Trucker PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Extreme Trucker 2,PC,Racing,Sony Computer Entertainment,6.0,3.0,1.0,31.0,3.0,0.1,3.04,0.02,3.29,3.0,2011,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Extreme Trucker 2 PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Gold Edition,PC,Racing,Amazon Game Studios,8.0,10.0,9.0,170.0,7.28,6.68,2.9,1.65,18.51,1.11,2009,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Gold Edition PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Haulin,PC,Racing,Sony Computer Entertainment,5.0,4.0,2.0,174.0,5.98,2.71,5.12,6.31,20.12,6.86,2006,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Haulin PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Wheels of Steel Pedal to the Metal,PC,Racing,Ubisoft,2.0,10.0,5.0,31.0,3.49,1.69,1.8,6.81,13.79,2.13,2004,,,,,,,,00:00:00,https://www.google.com/search?q=18 Wheels of Steel Pedal to the Metal PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187 Ride or Die,PS2,Racing,Ubisoft,8.0,4.0,2.0,73.0,3.0,0.07,5.82,0.06,6.1,2.68,2005,,,,,,,,00:00:00,https://www.google.com/search?q=187 Ride or Die PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Shells of Fury,PC,Simulation,IBM,8.0,9.0,5.0,210.0,4.26,3.77,3.19,4.45,15.67,5.31,2007,,,,,,,,00:00:00,https://www.google.com/search?q=1914 Shells of Fury PC release date,2007-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Joint Strike,PS,Shooter,Sony Computer Entertainment,6.6,7.0,4.0,277.0,3.71,1.81,2.39,4.29,12.2,1.26,2008,,,,,,,,00:00:00,https://www.google.com/search?q=1942 Joint Strike PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1nsane,PC,Racing,Sony Computer Entertainment,3.0,1.0,5.0,236.0,4.68,4.07,2.26,2.21,13.22,1.85,2001,,,,,,,,00:00:00,https://www.google.com/search?q=1nsane PC release date,2001-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Seiki Alice,PC,Adventure,IBM,4.0,9.0,7.0,266.0,6.18,3.29,2.18,4.21,15.86,0.04,2000,,,,,,,,00:00:00,https://www.google.com/search?q=20 Seiki Alice PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 FIFA World Cup,PS,Sports,Sony Computer Entertainment,2.0,6.8,9.0,10.0,4.35,3.97,3.52,1.53,13.37,1.39,2002,,,,,,,,00:00:00,https://www.google.com/search?q=2002 FIFA World Cup PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 FIFA World Cup,PC,Sports,Sony Computer Entertainment,2.0,6.0,7.0,277.0,3.77,3.55,1.03,3.58,11.93,6.06,2002,EASports,Sports;Traditional;Team;Soccer;Sim;Sim,80.0,8,Mutliplayer,,2002-04-26 00:00:00,2002-04-26 00:00:00,https://www.google.com/search?q=2002 FIFA World Cup PC release date,2002-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 FIFA World Cup,PS2,Sports,Frontier Developments,1.0,7.9,5.0,37.0,3.0,0.21,0.16,0.17,1.13,3.89,2002,,,,,,,,00:00:00,https://www.google.com/search?q=2002 FIFA World Cup PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 FIFA World Cup South Africa,PS3,Sports,Ubisoft,7.0,8.2,9.0,53.0,1.23,0.3,0.07,0.64,2.24,4.24,2010,EACanada,Sports;Traditional;Team;Soccer;Sim;Sim,82.0,7.8,1,,April 27 2010,2010-04-27 00:00:00,https://www.google.com/search?q=2010 FIFA World Cup South Africa PS3 release date,,7.833333333333333,0.16547952931229115,-0.006461156052292939,-0.00013059029028326635,-0.005939581088471307,0.005219606305125801,-0.03755593659159886,-0.014753739237673357,0.015570509033114207,0.011640032538019514,-0.010330229352653595,-0.0031298903737442124,-0.004759218938096344,-0.02177803979316918,-8.760613689566138e-05,-0.040907568275251514,0.002418851037322678,-0.015816381337181603,0.0030228751122621674,-0.023160129758660802,0.01133740124940969,0.013960833500489355,-0.013861176219152825,-0.008341471411083089,0.030338427117521466,0.018956767018028998,0.01096967074608606,-0.014879056062596348,0.017904780194293576,-0.026692697266918152,0.018632333246808488,0.024754126108653966,-0.01458883449676532,0.01556442351831117,-0.017494525641937188,0.017007884341470846,0.011516643451008534,0.012252896375639075,0.008708168568426638,-0.023803876830542154,-0.004158184432082241,-0.008622383569203073,-0.007141115317108718,0.01221502787274458,-0.0027305661300187807,-0.0018742173210486695,-0.0009551102843710172,0.012866527709544162,-0.008159837188773103,0.005127173104573107,0.0007668779245227885,-0.002012131252170854,-0.010751400448966088,-0.0010467014769667583,-0.01107276814323376,-0.0012392402586960075,-0.0053696202627189,-0.013517082560486851,-0.004240678383380812,-0.002973831980310175,-0.004935754389718006,-0.00015467724030651707,-0.001214750337104657,-0.015503786402422134,0.0030239006571676566,0.01320911666303533,0.006464433621375437,-0.005245672673057236,-0.0009188814896261109,0.008958763231474114,0.0008114476648529188,0.01275916948758551,0.008236438934803142,0.0018680420267804768,0.005874956147389227,-0.022276558204927462,0.01162361942382329,0.02071783044351683,0.01543377562032977,-0.009415888337072355,-0.008727817880246153,-0.0086557665189675,-0.02193106331569106,-0.017057556263966076,-0.005090001181323575,-0.004123117687328295,0.002403655780680383,0.01991050533029626,-0.004830828728820857,0.00010936465175041185,0.010440782820385554,-0.02011394999928775,0.003693503924541654,-0.0128907955409509,0.0061956577100118855,-0.005745692738794096,0.002855906918233299,0.019543764074671524,0.0058998155184735585,0.0068243597050128115,0.0007186569907760473
2064 Read Only Memories,PC,Adventure,Ubisoft,10.0,6.0,4.0,135.0,5.42,1.08,2.68,2.41,11.59,3.83,2015,,,,,,,,00:00:00,https://www.google.com/search?q=2064 Read Only Memories PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 The Game,PS2,Adventure,Frontier Developments,3.0,1.0,10.0,192.0,3.0,0.15,4.32,0.12,4.89,5.72,2006,,,,,,,,00:00:00,https://www.google.com/search?q=24 The Game PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 to Life,PC,Shooter,Activision,9.0,9.0,1.0,164.0,4.79,4.29,3.47,5.04,17.59,2.51,2006,,,,,,,,00:00:00,https://www.google.com/search?q=25 to Life PC release date,2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 To Life,PS2,Shooter,Frontier Developments,9.0,1.0,3.0,148.0,3.0,0.35,4.55,0.01,5.33,1.19,2006,,,,,,,,00:00:00,https://www.google.com/search?q=25 To Life PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Xtreme,PS,Sports,Frontier Developments,6.0,3.0,1.0,180.0,5.59,5.61,4.8,5.85,21.85,6.61,2007,,,,,,,,00:00:00,https://www.google.com/search?q=2Xtreme PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Great Planes For Microsoft Combat Flight Simulator ,PC,Simulation,IBM,6.0,5.0,2.0,116.0,2.5,5.04,4.93,3.33,15.8,4.57,2018,,,,,,,,00:00:00,https://www.google.com/search?q=3 Great Planes For Microsoft Combat Flight Simulator  PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 on 3 NHL Arcade,PS,Sports,Electronic Arts,3.0,5.0,2.0,223.0,2.84,1.24,1.83,4.45,10.36,2.22,2009,,,,,,,,00:00:00,https://www.google.com/search?q=3 on 3 NHL Arcade PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 Days to Mars,PC,Adventure,IBM,10.0,2.0,6.0,94.0,4.67,2.96,5.95,4.5,18.08,4.31,2018,,,,,,,,00:00:00,https://www.google.com/search?q=39 Days to Mars PC release date,2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Tank Warfare Simulator Panzer Front,PS,Simulation,Activision,2.0,1.0,5.0,81.0,3.0,0.06,4.87,0.04,5.07,4.88,2001,,,,,,,,00:00:00,https://www.google.com/search?q=3D Tank Warfare Simulator Panzer Front PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Twist & Match,PS,Puzzle,Activision,9.0,6.0,9.0,152.0,3.37,1.21,2.06,1.37,8.01,5.28,2011,,,,,,,,00:00:00,https://www.google.com/search?q=3D Twist & Match PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Ultra MiniGolf Adventures,PC,Sports,Activision,4.0,1.0,3.0,140.0,2.95,1.05,5.7,5.66,15.36,3.22,2006,,,,,,,,00:00:00,https://www.google.com/search?q=3D Ultra MiniGolf Adventures PC release date,2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
