name,platform,platform1,user_rating,critic_rating,release_date,summary,description,metacritic
Tekken 2,PlayStation,PS,8.3,89,"August 25, 1996",More than a sequel. The undisputed #1 fighting game on the planet.,"<p>Tekken 2 (鉄拳2) is a fighting game, the second installment in the Tekken series. It was released in arcades in August 1995, and later for the PlayStation in 1996. The original arcade version of the game was released in Tekken 5&#39;s Arcade History mode for the PlayStation 2, in 2007 for the PlayStation 3 and PlayStation Portable via the PlayStation Network, and in 2009 for Zeebo.<br />
There are ten playable characters in the game&#39;s arcade version and up to twenty-five fighters, including eight new ones in the console version. The home version also introduced new, now-staple game modes to the series. Tekken 2 was a critical as well as commercial success. It was followed by Tekken 3 in March 1997.</p>",89
GoldenEye 007,Nintendo 64,#N/A,8.9,96,"August 25, 1997",You are Bond. James Bond. You are assigned covert operations connected with the GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-hearted best wishes and you're off! Your mission begins in the heavily guarded chemical warfare facility at the Byelomorye Dam in the USSR. Look and shoot in any direction as you navigate 12 interactive 3-D environments. Use stealth and force as you see fit in matters of international security. Consider the military personnel expendable. You are licensed to kill!,"<p>GoldenEye 007 is a first-person shooter video game developed by Rare and based on the 1995 James Bond film GoldenEye. It was released for the Nintendo 64 video game console in August 1997. The game features a single-player campaign in which players assume the role of British Secret Intelligence Service agent James Bond as he fights to prevent a criminal syndicate from using a satellite weapon against London to cause a global financial meltdown. The game includes a split-screen multiplayer mode in which two, three, or four players can compete in different types of deathmatch games.<br />
GoldenEye 007 was developed over a period of two and a half years by an inexperienced team led by Martin Hollis, who had previously worked on the coin-op version of Killer Instinct. It was partially conceived as an on-rails shooter inspired by Sega&#39;s Virtua Cop, before being redesigned as a free-roaming shooter. The game was highly acclaimed by the gaming media and sold over eight million copies worldwide, making it the third-best-selling Nintendo 64 game. It received the BAFTA Interactive Entertainment Games Award and four awards from the Academy of Interactive Arts &amp; Sciences.<br />
Retrospectively, GoldenEye 007 is considered an important game in the history of first-person shooters for demonstrating the viability of game consoles as platforms for the genre, and for signalling a transition from the then-standard Doom-like approach to a more realistic style. It pioneered features such as atmospheric single-player missions, stealth elements, and a console multiplayer deathmatch mode. The game is frequently cited as one of the greatest video games of all time. A spiritual successor, Perfect Dark, was released in 2000, while a reimagining of the game, also titled GoldenEye 007, was released in 2010.</p>",96
Castlevania: Symphony of the Night,PlayStation,PS,9,93,"October 2, 1997","As a descendant of Dracula, you must end the vampire bloodline. Can you rid the world of this unspeakable terror? Uncover the mystery of Castlevania and challenge an adventure as legendary as its name. Over 140 different enemies, bosses, and ghastly creatures. Awesome magical spells - transform into a bat, a wolf, or etheral mist. Hidden weapons, secrets, and characters...the largest Castlevania ever!","<p>Castlevania: Symphony of the Night is a platform-adventure action role-playing game developed and published by Konami in 1997 for the PlayStation. It was directed and produced by Toru Hagihara, with Koji Igarashi acting as assistant director. It is the direct sequel to Castlevania: Rondo of Blood taking place four years later. It features Dracula&#39;s dhampir son Alucard as the protagonist rising from his slumber to explore the Dracula&#39;s castle which has re-appeared after Richter Belmont has vanished. It marks a break from previous games in the series, introducing exploration, non-linear level design and role-playing elements.<br />
Initially, the game was unsuccessful – particularly in the United States where it was meagerly publicized – but thanks to praise by critics, it gained sales through word-of-mouth and became a hit. It has been re-released on several consoles and is considered a sleeper hit, a cult classic, and one of the best video games ever made.</p>",93
Sid Meier's Gettysburg!,PC,PC,7.4,92,"September 30, 1997","Experience victory in Sid Meier's Gettysburg! It's the most engrossing and sophisticated real-time strategy game ever. In a stunning 3D battlefield, you plan the tactics, lead the troops, and take history into your own hands. Attack from the trees to protect your brigade,rally around a General for a quicker recovery, entrench your troops as your cannons blast the hillside, and much, much more with just a click of the mouse! Complete multiplayer support via internet, LAN, modem and serial link. [Firaxis]","<p>&quot;All we want is to be left alone.&quot;<br />
-Jefferson Davis<br />
July 2, 4:00 P.M. Southern Objective: Take Peach Orchard and attain pivotal strategic position.</p>
<p>Sid Meier&#39;s Gettysburg! is the most engrossing and sophisticated real-time combat strategy game ever to hit the South. Here&#39;s your chance to tan some Yankee hide, and change the outcome of this pivotal battle forever.</p>
<p>Rally your troops around a General for quicker recovery.<br />
Entrench with a Double Battle Line formation.<br />
Attack from the trees to protect your brigade.<br />
Change tactics with the click of a mouse.</p>
<p>Incredibly addictive REAL-TIME COMBAT with a host of unique tactics at your command<br />
Random scenario generator for INFINITE REPLAYABILITY<br />
Complete MULTIPLAYER support - 8 play via LAN/internet, 2 player via modem/serial link<br />
BRILLIANT AI from SID MEIER, one of the world&#39;s best game designers<br />
3-D BATTLE MAP of Pennsylvania&#39;s rolling hills<br />
Additional free internet support via MPlayer</p>
<p>Sid Meier<br />
Sid Meier is the creative genius behind such all time greats as Sid Meier&#39;s Civilization®, Sid Meier&#39;s Civilization II, and Sid Meier&#39;s Railroad Tycoon®. He&#39;s been honored with virtually every major award in the computer gaming industry, including the recent naming of Civilization as the Best Game of All Time by Computer Gaming World magazine.</p>
<p>Under Sid&#39; leadership, Firaxis Games creates innovative games that computer players of all levels can enjoy. In Sid Meier&#39;s Gettysburg!, Sid&#39;s commitment to intensely fun game design combines with his lifelong fascination with the Civil War era. Fine Southern gentleman that he is, he&#39;s created literally thousands of opportunities for the South to rise again.</p>
<p>SID MEIER&#39;S<br />
GETTYSBURG!<br />
www.gettysburg.ea.com</p>",92
Final Fantasy VII,PlayStation,PS,8.9,92,"September 3, 1997","An epic adventure across 3 cd-roms. What begins as a rebellion against an evil corporation becomes much more. And what erupts goes beyond imagination. With vivid landscapes, lush 3D animation and environments, Square Soft's multi-million dollar masterpiece is like nothing ever seen before.","<p>The world is under the control of Shinra, a corporation controlling the planet&#39;s life force as mako energy. In the city of Midgar, Cloud Strife, former member of Shinra&#39;s elite SOLDIER unit now turned mercenary lends his aid to the Avalanche resistance group, unaware of the epic consequences that await him.</p>
<p>FINAL FANTASY VII REMAKE is a reimagining of the iconic original with unforgettable characters, a mind-blowing story, and epic battles.<br />
The story of this first, standalone game in the FINAL FANTASY VII REMAKE project covers up to the party’s escape from Midgar, and goes deeper into the events occurring in Midgar than the original FINAL FANTASY VII.</p>",87
PaRappa the Rapper,PlayStation,PS,7.6,92,"October 31, 1997",Help Parappa rap with the best of the master rappers and straight into Sunny's heart. Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun of mixes.,"<p>PaRappa the Rapper (パラッパラッパー, Parappa Rappā) is a rhythm video game developed by NanaOn-Sha and published by Sony Computer Entertainment for the PlayStation. Created by music producer Masaya Matsuura in collaboration with artist Rodney Greenblat, the game features unique visual design and rap-based gameplay and is considered to be the first true rhythm game. The game was first released in Japan in 1996 and was later released in North America and Europe in 1997. The game was ported to the PlayStation Portable in 2006. A remastered version of the original PlayStation game was released for PlayStation 4 in 2017 for the game&#39;s twentieth anniversary.<br />
The game spawned two follow-up titles; a guitar-based spin-off titled Um Jammer Lammy, released in 1999 for the PlayStation, and a direct sequel, PaRappa the Rapper 2, released for the PlayStation 2 in 2001. An anime television series based on the games aired in Japan between April 2001 and January 2002, with a short spin-off series airing from October 2016.</p>",92
Myth: The Fallen Lords,PC,PC,8.5,91,"October 31, 1997","Myth is arguably the first real-time strategy game to put the player in a true 3D landscape, with an emphasis on tactical battlefield action rather than base construction. Myth also happens to be one of Bungie's most successful pre-Halo releases, and shows off the company's range and ability in genres outside of first-person shooters. A single player mode features an engrossing and enjoyable plot, with you battling the evil and eponymous Fallen Lords, their evil leader, Balor and all manner of undead creatures, but Myth's multiplayer is where it really stands out. Bungie.net's game-matching technology has been much-emulated since, and at Myth's release, was something truly special. Multiple game modes including King of the Hill, Steal the Bacon and even co-op added huge variety to what was an outstanding and standard-setting game - and it still is. If ever an older game deserved another visit, it's Myth, with a huge, loyal and highly motivated following. [Bungie]","<p>Myth: The Fallen Lords is a strategy game developed by Bungie. It was originally released in 1997. Eidos Interactive published the game. Myth: The Fallen Lords has a Metascore of 91, based on professional reviews. The game is rated as ""Meh"" on RAWG. <br>Myth: The Fallen Lords is available on PC. <br>Jason Jones produced the game. Martin O'Donnell, Marty O'Donnell, Mike Salvatori and Paul Heitsch scored the game. <br></p>",91
Colony Wars,PlayStation,PS,8.3,91,"October 31, 1997",Delivers the real experience with its spectacular cinematic graphics.,"<p>Colony Wars is a space combat simulator video game for the PlayStation developed and released by Psygnosis in 1997. In it, players complete space combat missions using preselected starfighters equipped with various weapons. The game features multiple paths of missions and outcomes, depending on the player's performance. It was later followed by Colony Wars: Vengeance in 1998, and Colony Wars: Red Sun in 2000.</p>",
Star Wars Jedi Knight: Dark Forces II,PC,PC,8.6,91,"October 9, 1997","In Dark Forces, Kyle Katarn, a young mercenary successfully infiltrated the Empire. Jedi Knight continues the story of Katarn as he embarks on a quest into his past and learns the mysterious ways of the Jedi. With this knowledge, he must stop seven Dark Jedi from unlocking the powers of a hidden Jedi burial ground. This task forces Katarn to decide his destiny. If he chooses the Dark side, he will come into enormous power. If he chooses the Light side, he faces seemingly insurmountable evil. Whatever path Katarn chooses will change the face of the galaxy forever. [LucasArts]","<p>Dark Forces™ set the industry standard for first person action in the Star Wars® universe. Now Jedi Knight: Dark Forces II picks up where the award-winning game left off...with even more features and firepower in dazzling 3D graphics. As Kyle Katarn, you must acquire the lightsaber and learn the ways of the Force to become a Jedi Knight. Confront old foes... Greedo, Boosk, stormtroopers. And new enemies... seven dark Jedi who plan to harness the power of an ancient burial ground for unsurpassed evil. But take heart, your 10 weapon arsenal and over 12 Force powers make you a force to be reckoned with.<br />
Single or multiplayer gameplay over modem, network or Internet. 9 multiplayer levels<br />
All new realistic 3D environments with animated 3D characters in 21 heart-stopping levels<br />
Encounter seven dark jedi, each possessing unique powers<br />
Compatible with many 3D graphics cards<br />
Intense Star Wars action in an all-new story fraught with danger and adventure - do you take the quick and easy path as Darth Vader did or do you take the patient route to Jedi Knighthood?<br />
If you choose the light side:<br />
Train to become a Jedi Knight - master the elegant Lightsaber and learn four special apprentice abilities<br />
Use exclusive light side powers: healing, persuasion (for the weak-minded), blinding and absorption<br />
Or be tempted by the dark side:<br />
Use your Jedi Knight training and apprentice abilities to become an agent of evil<br />
Use exclusive dark side powers: the grip (used if there&#39;s a disturbing lack of faith), Force throw, energy bolts and destruction</p>",91
Blast Corps,Nintendo 64,#N/A,8.4,90,"February 28, 1997","A pair of defective nuclear missiles, en route to a safe detonation site, has begun to leak. Badly damaged, the carrier automatically locks onto the most direct route. Clear a path to help the carrier arrive safely. Tons of vehicles are at your disposal. Leave nothing standing or the adventure will end in an earth-shattering explosion! Find the hidden technicians to ensure a safe detonation. Strap on your seat belt, it's going to be a bumpy ride.","<p>Blast Corps is a 1997 action video game for the Nintendo 64 in which the player uses vehicles to destroy buildings in the path of a runaway nuclear missile carrier. In the game's 57 levels, the player solves puzzles by transferring between vehicles to move objects and bridge gaps. It was developed by Rare, published by Nintendo, and released in March 1997 in Japan and North America. A wider release followed at the end of that year.</p>
<p>The game was among Rare's first for the Nintendo 64. Its development team ranged between four and seven members, many of whom were recent graduates. The team sought to find gameplay to fit Rare co-founder Chris Stamper's idea for a building destruction game. The puzzle game mechanics were inspired by those of Donkey Kong (1994).</p>
<p>Blast Corps was released to universal acclaim and received Metacritic's second highest Nintendo 64 ratings of 1997. The game sold one million copies—lower than the team's expectations—and received several editor's choice awards. Reviewers highly praised its originality, variety, and graphics, but some critiqued its controls and repetition. Reviewers of Rare's 2015 Rare Replay retrospective compilation noted Blast Corps as a standout title.</p>",
Fallout,PC,PC,8.8,89,"October 9, 1997","Set in the aftermath of a world-wide nuclear war, Fallout will challenge you to survive in an unknown and dangerous world. You will take the role of a Vault-dweller, a person who has grown up in a secluded, underground survival Vault. Circumstances arise that force you to go Outside -- to a strange world 80 years after the end of the modern civilization. A world of mutants, radiation, gangs and violence. Your immediate task is to find a replacement for the broken water purification controller chip. Without that chip, your fellow Vault dwellers are doomed to dehydration or be forced to leave the safety of the Vault for the Outside. [Interplay]","<p>Fallout franchise started in a very different way than we all know it by this day. As Bethesda started to develop Fallout franchise only from the third game, original Fallout was completely different.</p>
<p>The game starts in 2161, 84 years after a nuclear war destroyed most of the planet and turned into Wasteland. You can either create your protagonist or play as three pre-set options - Albert Cole, Max Stone or Natalia Dubrovhsky. When in Vault 13 water supplies start to malfunction via technical reasons, Overseer sends protagonist in a quest to find a replacement and save the Vault. Having Pip-Boy and some standard equipment, the Fallout world is absolutely open for exploration. </p>
<p>Although being a completely different genre of the game, Fallout still uses the same systems as we know today. S.P.E.C.I.A.L. system of characters stats (strength, perception, endurance, charisma, intelligence, agility and luck) affect your skills in a variety from 0% to 200%, as well as definitive straits that you choose only once for whole gameplay. Known to players as Karma, you can choose how to act in most of the situations and determine your reputation with other characters in the game.</p>",89
The Legend of Zelda: Ocarina of Time,Nintendo 64,#N/A,9.1,99,"November 23, 1998","As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.","<p>As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.</p>",99
Tekken 3,PlayStation,PS,9.1,96,"April 29, 1998","An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind.","<p>Tekken 3 (Japanese: 鉄拳3) is a fighting game, the third installment in the Tekken series. It was released in arcades in March 1997, and for the PlayStation in 1998. The original arcade version of the game was released in 2005 for the PlayStation 2 as part of Tekken 5&#39;s Arcade History mode.<br />
Tekken 3 was the first game released on Namco System 12 hardware (the original two Tekken games used System 11). The game features a largely new cast of characters, including the debut of several now-staple characters such as Jin Kazama, Ling Xiaoyu, Julia Chang and Hwoarang, with a total of twenty-three characters. The home version included a new beat&#39;em up mode called Tekken Force, as well as the bonus Tekken Ball mode.<br />
Tekken 3 is considered one of the greatest games of all time. With more than 8.5 million copies sold worldwide, Tekken 3 is the second best selling fighting game of all time and the fourth best-selling PlayStation game. A non-canonical sequel was released in 1999 and 2000 in arcades and on the PlayStation 2 respectively, titled Tekken Tag Tournament. It was followed by the canonical sequel Tekken 4 in arcades and on the PlayStation 2 in 2001 and 2002, respectively.</p>",96
Half-Life,PC,PC,9.1,96,"November 19, 1998","Half-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around the world, and was named 'Best PC Game Ever' in PC Gamer's November 1999 issue. [Sierra]","<p>Half-Life is the original game in the series. Being a revolutionary at the time, we follow the story of Gordon Freeman - a silent scientist at the facility called Black Mesa. Arriving late at work and hastily doing his routine he runs into the experiment field. However, the experiment goes completely wrong and opens a portal to a completely different dimension called Xen. The laboratory is destroyed as well as the facility itself, as unknown creatures like Vortigaunts are now everywhere in the facility. Gordon must battle his way to the surface and find a way to close the portal.</p>
<p>One of the main features of Half-Life was story-telling through scripted sequences within the actual gameplay. Without having cutscenes, the game was able to tell the full story of the game by showing scripted deaths, dialogues, character appearance while the gameplay was moving one. By not ripping off the player from the process, the game feels much more smooth as it continues. Despite his science nature, Gordon is masterfully using his weapons and destroys any enemy at his path with rifles, grenades, shotguns and much more.</p>",96
Gran Turismo,PlayStation,PS,8.6,96,"April 30, 1998","Welcome to the most advanced racing game ever created! Encounter exhilarating high-speed racing in 11 stunning environments. Feel handling agility and throttle response so convincing, the car seems to be an extension of yourself. Experience the extraordinary world of Gran Turismo!","<p>Gran Turismo is a sim racing video game designed by Kazunori Yamauchi. Gran Turismo was developed by Polys Entertainment and published by Sony Computer Entertainment in 1997 for the PlayStation video game console. The game&#39;s development group was established as Polyphony Digital in 1998.<br />
After five years of development time, it was well-received publicly and critically, shipping a total of 10.85 million copies worldwide as of March 2013 (making it the best-selling PlayStation game), and scoring an average of 95% in GameRankings&#39; aggregate, making it the highest rated racing video game of all-time. Many publications have deemed it one of the greatest video games of all time. The game has started a series, and has spawned over 10 spin-offs and sequels.</p>",96
