Title,Platform,Genre,Publisher,VGScore,CriticScore,UserScore,TotalShipped,AsianSales,NorthAmericaSales,JapanSales,EuropeSales,GlobalSales,ProductionCost,ReleaseYear_v1,Developer,MultipleGenre,MetaScore,AvgUserScore,NoOfPlayers,releasedate_1986-2023,releasedate_VGOutput,releasedate_raw,ReleaseDate,releasedate_link,ReleaseYear,ReleaseMonth,EndOfMonth,ReleaseQuarter,ReleaseWeekDay,ReleaseWeekend,ReleaseWeek
100 All Time Favorites,DS,Puzzle,Ubisoft,6,1,3,149,3,0.35,5.32,0.12,6.3,3.81,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=100 All Time Favorites DS release date,,,,,,,
100 Kiri Golf DS,DS,Sports,Ubisoft,8,9,3,103,5.29,4.71,3.91,5.02,18.93,1.18,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=100 Kiri Golf DS DS release date,,,,,,,
1001 Crosswords,DS,Puzzle,IBM,9,8,5,118,5.88,2.61,3.53,2.06,14.08,0.02,2012,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1001 Crosswords DS release date,,,,,,,
12Riven The Psi Climinal of Integral,PC,Adventure,IBM,8,6,10,115,6.35,4.12,5.2,6.69,22.36,3.99,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=12Riven The Psi Climinal of Integral PC release date,,,,,,,
12Riven The Psi Climinal of Integral,PS2,Adventure,Frontier Developments,4,7,10,91,3,1.85,0.04,5.9,7.83,4.06,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=12Riven The Psi Climinal of Integral PS2 release date,,,,,,,
13 Sentinels Aegis Rim,PS4,Adventure,Ubisoft,7,5,10,0.13,7.87,2.97,2.52,6.78,20.14,1.74,2020,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=13 Sentinels Aegis Rim PS4 release date,,,,,,,
15 Days,PC,Adventure,Activision,8,3,9,17,3,1.18,3.28,0.01,4.48,3.77,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=15 Days PC release date,,,,,,,
1500DS Spirits Vol. 3 Block Kuzushi,DS,Puzzle,IBM,5,6,1,162,6.48,4.42,4.98,6.99,22.87,6.08,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1500DS Spirits Vol. 3 Block Kuzushi DS release date,,,,,,,
1500DS Spirits Vol. 8 Darts,DS,Sports,Frontier Developments,7,8,5,44,4.96,4.33,1.47,3.89,14.65,5.64,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1500DS Spirits Vol. 8 Darts DS release date,,,,,,,
1503 A.D. The New World,PC,Simulation,Electronic Arts,8,7,9,1,1.24,4.9,1.06,2.69,9.89,3.49,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1503 A.D. The New World PC release date,,,,,,,
1602 A.D.,PC,Simulation,Ubisoft,2,5,7,2.7,3.64,2.04,2.93,1.8,10.41,0.01,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1602 A.D. PC release date,,,,,,,
1701 A.D.,PC,Simulation,Sony Computer Entertainment,8,7.7,5,1,7.05,4.74,5.85,2.3,19.94,6.96,2006,RelatedDesigns,Strategy;Real-Time;Historic;General;Historic,79,8.4,1 to 4,,#N/A,October 26 2006,26/10/2006,https://www.google.com/search?q=1701 A.D. PC release date,2006,10,Yes,4,4,Weekday,43
1701 A.D. The Curse of the Dragon,PC,Simulation,Frontier Developments,6,3,5,100,7.46,2.67,2.28,1.42,13.83,6.93,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1701 A.D. The Curse of the Dragon PC release date,,,,,,,
1701 A.D. Gold Edition,PC,Simulation,Ubisoft,6,7.9,3,241,4.62,1.54,1.94,5.52,13.62,6.17,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1701 A.D. Gold Edition PC release date,,,,,,,
18 Wheeler American Pro Trucker,PS2,Racing,Activision,9,6,7,235,3,0.2,4.01,0.15,4.76,5.26,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheeler American Pro Trucker PS2 release date,,,,,,,
18 Wheels of Steel Across America,PC,Racing,Activision,10,5,1,162,1.53,1.39,5.42,1.94,10.28,5.11,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Across America PC release date,,,,,,,
18 Wheels of Steel American Long Haul,PC,Racing,Sony Computer Entertainment,6,9,6,173,3.01,6.6,1.81,3.08,14.5,2.18,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel American Long Haul PC release date,,,,,,,
18 Wheels of Steel Big City Rigs,PC,Racing,Omega,9,6,7,60,5.19,1.92,5.81,6.56,19.48,0.03,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Big City Rigs PC release date,,,,,,,
18 Wheels of Steel Convoy,PC,Racing,Electronic Arts,10,7,7,140,4,7.1,5.68,1.34,18.12,1.26,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Convoy PC release date,,,,,,,
18 Wheels of Steel Extreme Trucker,PC,Racing,Activision,6,6,7,209,3,7.77,2.51,0.02,10.32,4.06,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Extreme Trucker PC release date,,,,,,,
18 Wheels of Steel Extreme Trucker 2,PC,Racing,Sony Computer Entertainment,6,3,1,31,3,0.1,3.04,0.02,3.29,3,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Extreme Trucker 2 PC release date,,,,,,,
18 Wheels of Steel Gold Edition,PC,Racing,Amazon Game Studios,8,10,9,170,7.28,6.68,2.9,1.65,18.51,1.11,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Gold Edition PC release date,,,,,,,
18 Wheels of Steel Haulin,PC,Racing,Sony Computer Entertainment,5,4,2,174,5.98,2.71,5.12,6.31,20.12,6.86,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Haulin PC release date,,,,,,,
18 Wheels of Steel Pedal to the Metal,PC,Racing,Ubisoft,2,10,5,31,3.49,1.69,1.8,6.81,13.79,2.13,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=18 Wheels of Steel Pedal to the Metal PC release date,,,,,,,
187 Ride or Die,PS2,Racing,Ubisoft,8,4,2,73,3,0.07,5.82,0.06,6.1,2.68,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=187 Ride or Die PS2 release date,,,,,,,
1914 Shells of Fury,PC,Simulation,IBM,8,9,5,210,4.26,3.77,3.19,4.45,15.67,5.31,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1914 Shells of Fury PC release date,,,,,,,
1942 Joint Strike,PS,Shooter,Sony Computer Entertainment,6.6,7,4,277,3.71,1.81,2.39,4.29,12.2,1.26,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1942 Joint Strike PS release date,,,,,,,
1nsane,PC,Racing,Sony Computer Entertainment,3,1,5,236,4.68,4.07,2.26,2.21,13.22,1.85,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1nsane PC release date,,,,,,,
20 Seiki Alice,PC,Adventure,IBM,4,9,7,266,6.18,3.29,2.18,4.21,15.86,0.04,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=20 Seiki Alice PC release date,,,,,,,
2002 FIFA World Cup,PS,Sports,Sony Computer Entertainment,2,6.8,9,10,4.35,3.97,3.52,1.53,13.37,1.39,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=2002 FIFA World Cup PS release date,,,,,,,
2002 FIFA World Cup,PC,Sports,Sony Computer Entertainment,2,6,7,277,3.77,3.55,1.03,3.58,11.93,6.06,2002,EASports,Sports;Traditional;Team;Soccer;Sim;Sim,80,8,Mutliplayer,,#N/A,26/4/2002,26/4/2002,https://www.google.com/search?q=2002 FIFA World Cup PC release date,2002,4,Yes,2,5,Weekday,17
2002 FIFA World Cup,PS2,Sports,Frontier Developments,1,7.9,5,37,3,0.21,0.16,0.17,1.13,3.89,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=2002 FIFA World Cup PS2 release date,,,,,,,
2010 FIFA World Cup South Africa,PS3,Sports,Ubisoft,7,8.2,9,53,1.23,0.3,0.07,0.64,2.24,4.24,2010,EACanada,Sports;Traditional;Team;Soccer;Sim;Sim,82,7.8,1,,#N/A,April 27 2010,27/4/2010,https://www.google.com/search?q=2010 FIFA World Cup South Africa PS3 release date,2010,4,Yes,2,2,Weekday,18
2064 Read Only Memories,PC,Adventure,Ubisoft,10,6,4,135,5.42,1.08,2.68,2.41,11.59,3.83,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=2064 Read Only Memories PC release date,,,,,,,
24 The Game,PS2,Adventure,Frontier Developments,3,1,10,192,3,0.15,4.32,0.12,4.89,5.72,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=24 The Game PS2 release date,,,,,,,
25 to Life,PC,Shooter,Activision,9,9,1,164,4.79,4.29,3.47,5.04,17.59,2.51,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=25 to Life PC release date,,,,,,,
25 To Life,PS2,Shooter,Frontier Developments,9,1,3,148,3,0.35,4.55,0.01,5.33,1.19,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=25 To Life PS2 release date,,,,,,,
2Xtreme,PS,Sports,Frontier Developments,6,3,1,180,5.59,5.61,4.8,5.85,21.85,6.61,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=2Xtreme PS release date,,,,,,,
3 Great Planes For Microsoft Combat Flight Simulator ,PC,Simulation,IBM,6,5,2,116,2.5,5.04,4.93,3.33,15.8,4.57,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3 Great Planes For Microsoft Combat Flight Simulator  PC release date,,,,,,,
3 on 3 NHL Arcade,PS,Sports,Electronic Arts,3,5,2,223,2.84,1.24,1.83,4.45,10.36,2.22,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3 on 3 NHL Arcade PS release date,,,,,,,
39 Days to Mars,PC,Adventure,IBM,10,2,6,94,4.67,2.96,5.95,4.5,18.08,4.31,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=39 Days to Mars PC release date,,,,,,,
3D Tank Warfare Simulator Panzer Front,PS,Simulation,Activision,2,1,5,81,3,0.06,4.87,0.04,5.07,4.88,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3D Tank Warfare Simulator Panzer Front PS release date,,,,,,,
3D Twist & Match,PS,Puzzle,Activision,9,6,9,152,3.37,1.21,2.06,1.37,8.01,5.28,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3D Twist & Match PS release date,,,,,,,
3D Ultra MiniGolf Adventures,PC,Sports,Activision,4,1,3,140,2.95,1.05,5.7,5.66,15.36,3.22,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3D Ultra MiniGolf Adventures PC release date,,,,,,,
3on3 FreeStyle,PC,Sports,Frontier Developments,6,6,1,291,5.42,2.43,2.39,4.32,14.56,5.07,2017,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=3on3 FreeStyle PC release date,,,,,,,
4 Elements,PC,Puzzle,Sony Computer Entertainment,2,8,1,222,3,1.77,1.34,0.04,3.2,3.83,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4 Elements PC release date,,,,,,,
4 Elements HD,PS,Puzzle,IBM,7,1,2,150,3.19,4.69,4.3,3,15.18,2.49,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4 Elements HD PS release date,,,,,,,
4 Play Collection Treasure Hunters,PC,Puzzle,Frontier Developments,9,3,2,174,3,4.8,4.51,0.01,9.33,2.53,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4 Play Collection Treasure Hunters PC release date,,,,,,,
428 Fuusa Sareta Shibuya de,PS3,Adventure,Omega,4,9,7,96,3,7.8,0.02,2.71,10.55,4.22,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=428 Fuusa Sareta Shibuya de PS3 release date,,,,,,,
442 Fußball Manager,PC,Sports,Amazon Game Studios,9,8,10,123,1.73,6.07,2.02,2.93,12.75,1.4,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=442 Fußball Manager PC release date,,,,,,,
4PM,PC,Adventure,Sony Computer Entertainment,6.5,4,10,124,2.61,2.84,1.02,2.89,9.36,1.2,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4PM PC release date,,,,,,,
4x4 EVO 2,PS2,Racing,Electronic Arts,1,8,7,185,4.77,3.27,4.26,4.32,16.62,3.77,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 EVO 2 PS2 release date,,,,,,,
4x4 EVO 2,PC,Racing,Frontier Developments,4,10,1,243,2.76,3.29,5.2,3.72,14.97,3.51,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 EVO 2 PC release date,,,,,,,
4x4 Evolution,PC,Racing,IBM,3,6,9,237,3.31,2.64,3.59,1.09,10.63,6.21,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 Evolution PC release date,,,,,,,
4x4 Evolution,PS2,Racing,Sony Computer Entertainment,10,9,6,166,3,0.16,2.54,0.12,3.14,4.49,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 Evolution PS2 release date,,,,,,,
4x4 Hummer,PC,Racing,Amazon Game Studios,7,10,3,249,2.48,2.76,3.24,4.45,12.93,1.16,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 Hummer PC release date,,,,,,,
4x4 Jam,PS,Racing,Sony Computer Entertainment,6,8,8,15,4.24,5.09,2.14,1.66,13.13,2.49,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4x4 Jam PS release date,,,,,,,
4X4 World Trophy,PS,Racing,Sony Computer Entertainment,6,2,9,178,5.05,3.13,3.88,4.07,16.13,4.09,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=4X4 World Trophy PS release date,,,,,,,
5 Star Racing,PS,Racing,Omega,1,1,5,170,3.31,2.22,1.51,5.39,12.43,4.96,2003,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=5 Star Racing PS release date,,,,,,,
50 Cent Blood on the Sand,PS3,Shooter,Amazon Game Studios,6,7.2,10,83,3,0.1,0.01,0.06,0.36,2.28,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=50 Cent Blood on the Sand PS3 release date,,,,,,,
60 seconds ,PC,Simulation,Frontier Developments,6,8,5,57,4.76,1.69,4.71,5.86,17.02,2.77,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=60 seconds  PC release date,,,,,,,
7 Sins,PC,Simulation,Frontier Developments,6,1,4,29,3.4,2.52,3.58,6.19,15.69,6.89,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Sins PC release date,,,,,,,
7 Sins,PS2,Simulation,Frontier Developments,1,7,10,136,1.06,1.05,3.5,1.52,7.13,1.14,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Sins PS2 release date,,,,,,,
7 Wonders Treasures of Seven,PC,Puzzle,Frontier Developments,1,2,9,44,6.72,3.37,2.49,6.86,19.44,2.59,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders Treasures of Seven PC release date,,,,,,,
7 Wonders Treasures of Seven,DS,Puzzle,Frontier Developments,7,4,9,108,3,0.01,2.6,0.02,2.66,1.11,2011,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders Treasures of Seven DS release date,,,,,,,
7 Wonders II,PC,Puzzle,Sony Computer Entertainment,5,3,5,289,6.38,2.9,2.54,4.82,16.64,5.37,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders II PC release date,,,,,,,
7 Wonders of the Ancient World,PS2,Puzzle,Electronic Arts,3,10,7,244,7.26,4.34,2.54,3.38,17.52,1.08,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders of the Ancient World PS2 release date,,,,,,,
7 Wonders of the Ancient World,PS,Puzzle,Frontier Developments,1,5.4,8,193,5.2,4.38,3.32,3.2,16.1,3.15,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders of the Ancient World PS release date,,,,,,,
7 Wonders of the Ancient World,PC,Puzzle,Ubisoft,3,10,7,137,3,2.04,4.76,0.01,6.82,1.61,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders of the Ancient World PC release date,,,,,,,
7 Wonders of the Ancient World,DS,Puzzle,Ubisoft,6,6,2,203,3,0.1,5.16,0.01,5.4,6.98,2007,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7 Wonders of the Ancient World DS release date,,,,,,,
7th Sector,PS4,Puzzle,Omega,10,9,7,185,4.77,3.33,1.64,5.52,15.26,2.62,2020,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7th Sector PS4 release date,,,,,,,
7th Sector,PC,Puzzle,Electronic Arts,9,4,3,264,5.35,2.96,1.61,3.76,13.68,6.87,2020,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=7th Sector PC release date,,,,,,,
8 to Glory The Official Game of the PBR,PS4,Sports,Activision,6,1,4,235,3,0.03,5.88,2.04,7.99,1.31,2018,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=8 to Glory The Official Game of the PBR PS4 release date,,,,,,,
9 Clues 2 The Ward,PC,Puzzle,Activision,8,10,5,86,4.66,1.81,4.77,1.47,12.71,2.45,2015,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=9 Clues 2 The Ward PC release date,,,,,,,
99 no Namida,DS,Adventure,Omega,7,8,5,172,3,2.41,0.04,6.44,8.93,6.64,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=99 no Namida DS release date,,,,,,,
99 Spirits  Cage of Night,PC,Adventure,IBM,6,9,8,10,3.41,6.98,6,3.96,20.35,0.01,2014,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=99 Spirits  Cage of Night PC release date,,,,,,,
999 Nine Hours Nine Persons Nine Doors,DS,Adventure,Sony Computer Entertainment,9,7.9,4,168,3,0.31,0.03,1.62,2.33,5.08,2010,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=999 Nine Hours Nine Persons Nine Doors DS release date,,,,,,,
A GA,PC,Adventure,Sony Computer Entertainment,1,6,1,88,2.86,2.24,1.69,5.82,12.61,1.64,2004,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A GA PC release date,,,,,,,
A New Beginning,PC,Adventure,Amazon Game Studios,9,3,8,0.11,6.66,1.73,3.96,2.58,14.93,1.7,2012,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A New Beginning PC release date,,,,,,,
A Plague Tale Innocence,PS4,Board Game,Ubisoft,7,5,8,101,5.92,3.44,5.26,3.27,17.89,4.33,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Plague Tale Innocence PS4 release date,,,,,,,
A Plague Tale Innocence,PC,Board Game,Frontier Developments,6,8,1,156,4.15,4.05,2.22,3.13,13.55,4.82,2019,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Plague Tale Innocence PC release date,,,,,,,
A Ressha de Gyoukou 2001,PS2,Simulation,Ubisoft,6,8,10,169,3,3.94,0.03,2.6,6.6,5.95,2001,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Ressha de Gyoukou 2001 PS2 release date,,,,,,,
A Ressha de Ikou DS,DS,Simulation,Electronic Arts,3,6,2,41,3,4.33,0.04,1.08,5.49,5.56,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Ressha de Ikou DS DS release date,,,,,,,
A Train 8,PC,Simulation,Electronic Arts,3,7,4,106,4.63,1.48,1.46,6.29,13.86,4.07,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Train 8 PC release date,,,,,,,
A Vampyre Story,PC,Adventure,Activision,2,8,3,221,3,7.98,4.56,0.01,12.57,6.52,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A Vampyre Story PC release date,,,,,,,
A.C.E. Another Centurys Episode,PS2,Simulation,Activision,3,8,5,84,3,3.53,0.26,3.33,7.38,2.09,2005,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A.C.E. Another Centurys Episode PS2 release date,,,,,,,
A.C.E. Another Centurys Episode 2,PS2,Simulation,Electronic Arts,1,2,2,93,3,3.01,0.18,4.73,8.1,3.27,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=A.C.E. Another Centurys Episode 2 PS2 release date,,,,,,,
